Subject Line A;Subject Line B;Target
The jazz ensemble from the community college will be performing...;Jazz Ensemble Performing Live at City Park This Friday Evening;A
Notice of power outages: Scheduled electrical maintenance will occur this...;Scheduled Electrical Maintenance;A
I've just started a blog about our neighborhoodís history and...;I've just started a blog about our neighborhood's history;A
Attention all pet owners: A free vaccination clinic for pets...;Attention All Pet Owners: Free Vaccination Clinic Next Saturday;A
The local volunteer fire department is hosting an open house...;Meet the Firefighters and Learn About Fire Safety;B
If anyone needs help setting up their new computers or...;If Anyone Needs Help Setting Up Their New Computers;B
Join us for a night at the movies in the...;Join us for a night at the movies in the...;A
Reminder: The annual neighborhood garage sale is happening this Sunday...;Annual Neighborhood Garage Sale;B
Get your sneakers on for the charity run next month!...;Get Your Sneakers On for the Charity Run;B
A meditation and yoga session will be held every Sunday...;Start Your Week with Some Peace;A
The local library is introducing 'author of the month' series...;"""Author of the Month Series""";B
Lost: A blue and white striped beach towel, left on...;LOST: Blue and white striped beach towel;A
The city park department is looking for volunteers to help...;City Park Department Seeking Volunteers;B
Our local pet shelter is in desperate need of foster...;Our local pet shelter is in desperate need of foster...;A
The seniors' center is looking for volunteer drivers to help...;Volunteer Drivers Needed for Weekly Grocery Shopping Trips;A
Community Alert: There have been reports of suspicious activities in...;Community Alert: There Have Been Reports of Suspicious Activities;B
Iím organizing a winter clothing drive for the homeless shelter...;I‚Äôm organizing a winter clothing drive for the homeless shelter...;B
Attention, pet owners! There have been reports of increased tick...;Increased tick activity in local parks.;A
Notice: The water main on Jefferson Ave will be shut...;Notice: The Water Main on Jefferson Ave Will Be Shut...;A
The annual river cleanup is happening this weekend. We're looking...;The annual river cleanup is happening this weekend.;B
Iím trying to find a home for a friendly stray...;I‚Äôm trying to find a home for a friendly stray...;B
The environmental club is leading a cleanup at Beachy Head...;This Saturday Cleanup at Beachy Head;A
Heads up! A community garage sale is set for next...;Heads Up! Community Garage Sale Next Sunday;A
Experienced babysitter available! I'm certified in CPR and have five...;Experienced babysitter available!;A
I'm planning a plant exchange next month. Bring your cuttings,...;Bring Your Cuttings, Seedlings, or Potted Plants;A
Lost Dog Alert: Missing from near Central Park since yesterday....;LOST DOG ALERT: Brown and white spaniel with a red...;B
Street Fair this Saturday! Join us from noon to 5...;Street Fair this Saturday! Join us from noon to 5...;A
Reminder: School board meeting tonight at 8 PM in the...;Important discussions on budget and new school policies tonight;B
Book Lover's Club is meeting this Wednesday at the library....;The Great Gatsby;B
Yard waste pickup starts this Friday. Please have your leaves...;Yard Waste Pickup Starts This Friday;B
A new coffee shop, Bean There, is opening on Elm...;Free Coffee Samples This Monday;B
Community Alert: Be on the lookout for suspicious activity near...;Community Alert: Be on the lookout for suspicious activity near...;B
Fitness Fun Day at the Community Center this Wednesday at...;Fitness Fun Day at the Community Center;B
Seeking volunteers for the local food pantry this Saturday. Help...;Seeking Volunteers This Saturday;B
Got extra garden tools? The community garden is accepting donations....;Got Extra Garden Tools?;B
My daughter is raising money for her school trip by...;My daughter is raising money for her school trip by...;A
Bike Sale: Selling several gently used bikes Saturday at 111...;Bike Sale: Saturday at 111 Maple Ave. Great deals for...;A
Found Cat: Grey tabby found near Willow Park. Appears well...;Grey Tabby Found Near Willow Park;A
Local artist showcase at the Art Center this Friday. Come...;Local Artist Showcase This Friday;B
Karaoke night at the Oak Tree Tavern this Thursday night!...;Karaoke Night This Thursday;B
Free cooking class at the public kitchen this Monday. Learn...;FREE Cooking Class This Monday;B
Garage Sale Tips Workshop at the Community Hall this Tuesday...;Garage Sale Tips Workshop;B
Need help with fall leaf removal? Contact Jake at 555-2341....;Affordable Rates for Gardens and Driveways Cleaning;B
Join the Historic Walk through old town this Saturday morning....;Join the Historic Walk this Saturday morning;B
Puppy Training Sessions start next week at the Animal Welfare...;Puppy Training Sessions Start Next Week;A
Local theater group holding auditions for 'Romeo and Juliet'. Experienced...;Romeo and Juliet Auditions;B
Anyone know of a good piano tuner in the area?...;Good Piano Tuner Needed;B
Neighborhood Watch Introduction meeting this Thursday at the town hall...;Neighborhood Watch Introduction Meeting this Thursday;A
Annual Pancake Breakfast at the firehouse this weekend. Come enjoy...;Annual Pancake Breakfast;A
Lost Keys near Market Street. Set of car and house...;Lost Keys near Market Street;B
I found a set of keys near the bus stop...;I FOUND A SET OF KEYS NEAR THE BUS STOP...;A
Found: A small pouch containing various crafting tools, left behind...;Found: A small pouch containing various crafting tools;A
Volunteers are needed for the downtown clean-up day next Saturday....;Meet at the town square at 9 AM ready to...;A
The local theater is holding auditions for its summer production...;Auditions for Grease Production;B
A friendly reminder that property taxes are due at the...;Property Taxes Due at the End of the Month;B
Lost: A blue and white striped beach towel, left on...;LOST: A blue and white striped beach towel;A
Iím trying to find a home for a friendly stray...;I'm Trying to Find a Home for a Friendly Stray...;A
I'm offering free tech help for seniors this Friday at...;I'm offering free tech help for seniors this Friday at...;A
A wallet was found near the outdoor gym in Central...;Wallet Found Near Outdoor Gym in Central Park;A
The local art club is holding an outdoor painting session...;Outdoor Painting Session This Sunday;B
Attention, gardeners! The community garden is now accepting applications for...;Attention, gardeners! The community garden is now accepting applications for...;A
