Posts;Subject Line A;Subject Line B;Target
"Our annual ""Light Up the Night"" holiday parade is seeking volunteers to help with preparations and on the day of the event. If you love the holiday season and want to get involved, we'd love to have you!";Light Up the Night;"Our annual ""Light Up the Night"" holiday parade is seeking...";B
If you've lost a pet, remember to check the animal shelter, as all found pets are brought there. You can also post a description and photo on our community lost and found online board.;Lost Pets: Check the Animal Shelter;If you've lost a pet, remember to check the animal...;B
The neighborhood association is planning a series of workshops on home energy efficiency, including how to improve insulation and reduce utility bills. Sign up to learn how to make your home more energy-efficient.;The Neighborhood Association is Planning;The neighborhood association is planning a series of workshops on...;B
The local symphony orchestra will be giving a free concert in the park this Sunday at 5 PM. Bring a blanket or chair and enjoy an evening of classical music under the stars.;Free Concert in the Park this Sunday;The local symphony orchestra will be giving a free concert...;A
Volunteers needed for our annual river regatta next month. We need help with everything from setting up to managing the event. If you’re interested in helping out, please sign up on our website.;Volunteers needed for our annual river regatta next;Volunteers needed for our annual river regatta next month. We...;A
Reminder: The community pool is now open for the season. Check the posted schedule for swim times, lessons, and aqua-fitness classes. Let's stay cool and fit this summer!;The Community Pool is Now Open for the Season;Reminder: The community pool is now open for the season....;A
Lost a precious silver locket at the downtown market last weekend. It has great sentimental value, and I am offering a reward for its return. Please contact me if you have any information.;Lost a precious silver locket at the downtown market;Lost a precious silver locket at the downtown market last...;B
The local university extension is offering a series of lectures on environmental conservation. These lectures are free to the public and a great resource for anyone interested in sustainability.;The local university extension is offering a series of lectures...;The local university extension is offering a series of lectures...;B
A note to all dog owners: Please clean up after your pets while in public areas. We want to keep our streets and parks clean for everyone to enjoy.;A Note to All Dog Owners;A note to all dog owners: Please clean up after...;B
Found a pair of prescription glasses at the bus stop on 5th and Main. They have a black frame and bifocal lenses. Please contact me to identify and claim them.;Found a pair of prescription glasses at the bus stop...;Found a pair of prescription glasses at the bus stop...;A
I lost a small gold locket near the central plaza last Thursday. It has great sentimental value. If anyone has found it, could you please contact me? I'm offering a reward.;I lost a small gold locket;I lost a small gold locket near the central plaza...;B
