Posts;Llama Baseline;Rule-based Baseline;ChatGPT-3.5-Turbo Baseline
Are you ready to showcase your culinary skills? Our annual neighborhood cook-off is approaching. Sign up now to compete or just come to taste and vote!;Are You Ready to Showcase Your Culinary Skills?;Are you ready to showcase your culinary skills? Our annual...;annual neighborhood cook-off is approaching
Volunteers needed for our library's reading program. Help kids improve their literacy skills and foster a lifelong love of reading.;Help Kids Improve Their Literacy Skills;Volunteers needed for our library's reading program. Help kids improve...;Help kids improve their literacy skills
Is your pet a star? Enter them into our annual pet parade and show off their unique talents or adorable costumes. Prizes for the most impressive entries!;Is Your Pet a Star?;Is your pet a star? Enter them into our annual...;Enter them into our annual pet parade and show off...
Discover the joys of pottery at our local arts center. Beginner classes start next week. Shape clay into beautiful forms with your own hands.;Discover the joys of pottery at our;Discover the joys of pottery at our local arts center....;Discover the joys of pottery at our local arts center
Looking for a yoga class? Join our morning sessions by the lake. Perfect for all levels, and a great way to start the day refreshed and centered.;Looking for a yoga class?;Looking for a yoga class? Join our morning sessions by...;Join our morning sessions by the lake
Our community theatre needs your talents! Auditions for the upcoming musical are open. Acting, singing, or behind the scenes – all are welcome.;Our community theatre needs your talents!;Our community theatre needs your talents! Auditions for the upcoming...;Auditions for the upcoming musical are open
Volunteers needed! We're looking for community members to help organize the Spring Festival. It's a great way to meet people and contribute to making our town a vibrant place. Interested? Please sign up at the town hall.;Volunteers Needed!;Volunteers needed! We're looking for community members to help organize...;Volunteers needed! We're looking for community members to help organize...
Neighborhood garage sale this weekend! Clear out your clutter or find some treasures. Maps and participant list available at the community center.;Neighborhood Garage Sale This Weekend!;Neighborhood garage sale this weekend! Clear out your clutter or...;Neighborhood garage sale this weekend!
Be part of our annual fun run! Whether you sprint or stroll, come support local charities and enjoy a day of community spirit and healthy activity.;Be part of our annual;Be part of our annual fun run! Whether you sprint...;Support local charities at our annual fun run!
Safety first! Join our workshop on home security and personal safety. Learn tips and tricks to keep your family and belongings safe.;Safety first!;Safety first! Join our workshop on home security and personal...;Join our workshop on home security and personal safety
Local artist showcase at our gallery this Friday. Come admire the creativity of our neighborhood’s talented artists. Free entry and refreshments.;Local Artist Showcase this Friday;Local artist showcase at our gallery this Friday. Come admire...;Local artist showcase at our gallery this Friday
Teen tech whizzes! We’re starting a robotics club. Build, code, and compete. Beginners welcome—learn and grow with us.;Teen Tech Whizzes! We’re Starting a Robotics Club. Build,;Teen tech whizzes! We’re starting a robotics club. Build, code,...;Teen tech whizzes! We’re starting a robotics club
Book lovers, join our monthly reading club. We pick exciting titles and discuss over coffee in a friendly, informal setting.;Book Lovers, Join Our Monthly Reading Club;Book lovers, join our monthly reading club. We pick exciting...;Join our monthly reading club
Attend our craft market this Sunday. Handmade goods from local artisans. Perfect for finding that unique gift or treat for yourself.;Attend this Sunday Handmade goods from local artisans;Attend our craft market this Sunday. Handmade goods from local...;Handmade goods from local artisans
Want to make a difference? Join our beach cleanup this weekend. Preserve the beauty of our coasts and enjoy the outdoors with friendly locals.;Join our beach cleanup this weekend;Want to make a difference? Join our beach cleanup this...;Join our beach cleanup this weekend
Game night at the community center! Bring your favorite board games or join in on others'. Snacks, drinks, and friendly competition await.;Game Night at the Community Center!;Game night at the community center! Bring your favorite board...;Game night at the community center! Bring your favorite board...
Free health screening at our local clinic this Saturday. Know your numbers and stay on top of your health. No appointment needed, just walk in!;Free Health Screening This Saturday;Free health screening at our local clinic this Saturday. Know...;Know your numbers and stay on top of your health.
Lost dog alert: A golden retriever, wearing a blue collar with stars, was last seen near Oakwood Park. If you see him, please call the number on the collar. His family misses him dearly.;Lost Dog Alert: A Golden Retriever...;Lost dog alert: A golden retriever, wearing a blue collar...;Lost dog alert: A golden retriever, wearing a blue collar...
Revitalize your garden with our free workshop on organic gardening. Learn how to nourish soil naturally and grow healthier plants.;Revitalize Your Garden with Our Free Workshop on Organic Gardening;Revitalize your garden with our free workshop on organic gardening....;Free workshop on organic gardening
