Subject Line A;Subject Line B
Garage sale! This Sunday from 8 AM to 12 PM...; Garage sale!
"I lost a small drone in the park yesterday; it's..."; Drone Yesterday
Lost: A silver wristwatch near the tennis courts. It has...; Reward for lost silver wristwatch near tennis courts
The town council is seeking input on the new park...;Attend the Public Meeting
Reminder: Next week's waste collection will be on Wednesday, not...; Waste Collection on Wednesday
Found Cat: An orange tabby with no collar was found...;Found Cat
Local art exhibition this weekend at the community center. Come...; Local art exhibition this weekend
For rent: A two-bedroom apartment with a lovely view of...; A Two-Bedroom Apartment With A View
Yoga classes starting next month at the park. Experienced instructors,...; Experienced instructors welcome
The library is extending its hours for finals week. Students...; Library Hours Extended
Neighborhood BBQ this Saturday! Bring your favorite dish and join...; Join us for a potluck dinner
Lost dog: A black Labrador, last seen near the grocery...;Lost dog
Attention all! A red bicycle was found locked outside the...;Red bicycle found outside library overnight
Looking for fellow crafters interested in starting a weekly crafting...;Crafting Circle
Safety tip: With the recent storms, ensure that all outdoor...; Secure your outdoor furniture
Traveling book club meets next Monday. This month's book is...; Thrilling Mystery Novel
Hiking group! Interested in exploring local trails with fellow outdoor...; Join us for outdoor adventure
Found bicycle near the community hall. It's a children's bike,...;Found blue bike with white stripes near community hall
Health awareness workshop on managing stress, hosted by the wellness...; Stress management
Artisans market! Local craftspeople will be selling homemade goods this...; Town Square
Traffic note: Roadworks on Main St. starting next week. Expect...; Roadworks on Main St.
Community cooking class: Learn how to make Italian dishes from...; Italian Cuisine
The local animal shelter is seeking donations of pet food,...;Support Animals in Need
Reminder for all gardening enthusiasts! Join our monthly gardening club...;Join Our Monthly Gardening Club
Does anyone want to join a fantasy football league? I'm...; Fantasy Football League with Local Folks
Community Potluck! Bring your favorite dish and join us at...;Bring Your Favorite Dish
Fitness Challenge: We are starting a community fitness challenge next...; Sign-up Details
Opportunity to Volunteer! Local food bank needs volunteers this weekend....;Opportunity to Volunteer!
Book Club Alert: Our neighborhood book club is reading 'The...; Coffee and discussion
Jazz Nights are back at the local cafe! Come enjoy...; Perfect way to relax
Lost Dog: A golden retriever named Buddy has gone missing...;Lost Dog
Tech Workshop: Learn the basics of computer programming at our...; Learn programming basics
Yard Sale this Saturday! Multiple houses participating on Maple Street....;Multiple houses participating on Maple Street
Photography Club: Join us for a photography walk next Sunday....; Learn Photography Tips
Cycling Group: Interested in joining a weekend cycling group? Meet...;Join Weekend Cycling Group
I'm launching a local newsletter focused on community events, small...; Community News
Neighborhood Watch Meeting: Keep our community safe by joining the...;Neighborhood Watch Meeting
Karaoke Night at the local bar this Thursday! Show off...; Karaoke Night at the local bar
Reminder: School registration is open. Please register your children for...; School registration reminder
DIY Workshop: Learn how to create your own home decorations...; DIY Workshop this Weekend
Road Closure Alert: Main Street will be closed this weekend...; Road Closure Alert: Main Street Closure
Puppet Show for Kids: Bring your kids to the community...; Community theater this weekend
Historical Society Lecture: Join us for a lecture on the...;Join us this Tuesday for a lecture on the history...
Fitness Bootcamp: Get in shape with our morning fitness boot...; Fitness boot camp at the park starts next week
Garden Exchange: Swap plants and gardening tips with fellow garden...; Swap plants and gardening tips with fellow garden enthusiasts
Volunteer at the Senior Center: Spend time with our senior...;Volunteer at the Senior Center
Our community garden is hosting a workshop on organic gardening...; Workshop on Organic Gardening
